CMDLINE C:\Users\sebas\Anaconda3\python.exe combined_test.py
MEM 133.734375 1521115205.3610
MEM 133.734375 1521115205.4612
MEM 133.734375 1521115205.5613
MEM 133.734375 1521115205.6617
MEM 133.734375 1521115205.7617
MEM 133.734375 1521115205.8624
MEM 133.734375 1521115205.9624
MEM 133.734375 1521115206.0627
MEM 133.734375 1521115206.1635
MEM 133.734375 1521115206.2640
MEM 133.734375 1521115206.3645
MEM 133.734375 1521115206.4654
MEM 133.734375 1521115206.5659
MEM 133.734375 1521115206.6662
MEM 133.734375 1521115206.7667
MEM 133.734375 1521115206.8674
MEM 133.734375 1521115206.9675
MEM 133.734375 1521115207.0684
MEM 133.734375 1521115207.1685
MEM 133.734375 1521115207.2688
MEM 133.734375 1521115207.3692
MEM 133.734375 1521115207.4694
MEM 133.734375 1521115207.5700
MEM 133.734375 1521115207.6707
MEM 133.734375 1521115207.7716
MEM 133.734375 1521115207.8718
MEM 133.734375 1521115207.9719
MEM 133.734375 1521115208.0722
MEM 133.734375 1521115208.1729
MEM 133.734375 1521115208.2734
MEM 133.734375 1521115208.3737
MEM 133.734375 1521115208.4741
MEM 133.734375 1521115208.5742
MEM 133.734375 1521115208.6747
MEM 133.734375 1521115208.7752
MEM 133.734375 1521115208.8762
MEM 133.734375 1521115208.9765
MEM 133.734375 1521115209.0769
MEM 133.734375 1521115209.1772
MEM 133.734375 1521115209.2781
MEM 133.734375 1521115209.3782
MEM 133.734375 1521115209.4787
MEM 133.734375 1521115209.5788
MEM 133.734375 1521115209.6801
MEM 133.734375 1521115209.7804
MEM 133.734375 1521115209.8809
MEM 133.734375 1521115209.9818
MEM 133.734375 1521115210.0823
MEM 133.734375 1521115210.1834
MEM 133.734375 1521115210.2839
MEM 133.734375 1521115210.3848
MEM 133.734375 1521115210.4852
MEM 133.734375 1521115210.5862
MEM 133.734375 1521115210.6870
MEM 133.734375 1521115210.7871
MEM 133.734375 1521115210.8879
MEM 133.734375 1521115210.9880
MEM 133.734375 1521115211.0884
MEM 133.734375 1521115211.1887
MEM 133.734375 1521115211.2893
MEM 133.734375 1521115211.3899
MEM 133.734375 1521115211.4902
MEM 133.734375 1521115211.5905
MEM 133.734375 1521115211.6908
MEM 133.734375 1521115211.7911
MEM 133.734375 1521115211.8915
MEM 133.734375 1521115211.9925
MEM 133.734375 1521115212.0932
MEM 133.734375 1521115212.1936
