CMDLINE C:\Users\sebas\Anaconda3\python.exe combined_test.py
MEM 0.707031 1521115472.6157
MEM 12.886719 1521115472.7157
MEM 20.128906 1521115472.8160
MEM 24.988281 1521115472.9163
MEM 31.890625 1521115473.0166
MEM 31.863281 1521115473.1168
MEM 37.609375 1521115473.2172
MEM 39.714844 1521115473.3174
MEM 43.246094 1521115473.4177
MEM 48.824219 1521115473.5178
MEM 49.078125 1521115473.6180
MEM 49.621094 1521115473.7183
MEM 51.582031 1521115473.8186
MEM 56.589844 1521115473.9188
MEM 65.664062 1521115474.0191
MEM 75.011719 1521115474.1194
MEM 87.546875 1521115474.2196
MEM 96.246094 1521115474.3200
MEM 100.203125 1521115474.4203
MEM 113.476562 1521115474.5204
MEM 113.476562 1521115474.6207
MEM 113.476562 1521115474.7209
MEM 113.476562 1521115474.8212
MEM 113.476562 1521115474.9215
MEM 113.476562 1521115475.0217
MEM 113.476562 1521115475.1220
MEM 113.476562 1521115475.2223
MEM 113.476562 1521115475.3225
MEM 113.476562 1521115475.4228
MEM 113.476562 1521115475.5231
MEM 113.476562 1521115475.6233
MEM 113.476562 1521115475.7236
MEM 113.476562 1521115475.8239
MEM 113.476562 1521115475.9241
MEM 113.476562 1521115476.0249
MEM 113.476562 1521115476.1252
MEM 113.476562 1521115476.2254
MEM 113.476562 1521115476.3257
MEM 113.476562 1521115476.4260
MEM 113.476562 1521115476.5262
MEM 113.476562 1521115476.6265
MEM 113.476562 1521115476.7268
MEM 113.476562 1521115476.8270
MEM 113.476562 1521115476.9273
MEM 113.476562 1521115477.0276
MEM 113.476562 1521115477.1279
MEM 113.476562 1521115477.2282
MEM 113.476562 1521115477.3284
MEM 113.476562 1521115477.4287
MEM 113.476562 1521115477.5290
MEM 113.476562 1521115477.6292
MEM 113.476562 1521115477.7295
MEM 113.476562 1521115477.8298
MEM 113.476562 1521115477.9301
MEM 113.476562 1521115478.0304
MEM 113.476562 1521115478.1306
MEM 113.476562 1521115478.2309
MEM 113.476562 1521115478.3312
MEM 113.476562 1521115478.4314
MEM 113.476562 1521115478.5317
MEM 113.476562 1521115478.6320
MEM 114.644531 1521115478.7322
MEM 114.644531 1521115478.8325
MEM 114.644531 1521115478.9328
MEM 114.644531 1521115479.0330
MEM 114.644531 1521115479.1333
