CMDLINE C:\Users\sebas\Anaconda3\python.exe combined_test.py
MEM 0.707031 1521115360.1253
MEM 12.902344 1521115360.2255
MEM 20.144531 1521115360.3259
MEM 25.203125 1521115360.4261
MEM 32.574219 1521115360.5264
MEM 31.578125 1521115360.6266
MEM 38.054688 1521115360.7270
MEM 39.726562 1521115360.8274
MEM 44.222656 1521115360.9276
MEM 49.058594 1521115361.0279
MEM 49.058594 1521115361.1282
MEM 49.601562 1521115361.2284
MEM 51.554688 1521115361.3287
MEM 56.375000 1521115361.4290
MEM 64.070312 1521115361.5292
MEM 73.808594 1521115361.6295
MEM 87.234375 1521115361.7298
MEM 95.257812 1521115361.8301
MEM 99.445312 1521115361.9304
MEM 108.859375 1521115362.0311
MEM 113.453125 1521115362.1314
MEM 113.453125 1521115362.2316
MEM 113.453125 1521115362.3319
MEM 113.453125 1521115362.4322
MEM 113.453125 1521115362.5324
MEM 113.453125 1521115362.6327
MEM 113.453125 1521115362.7330
MEM 113.453125 1521115362.8332
MEM 113.453125 1521115362.9335
MEM 113.453125 1521115363.0338
MEM 113.453125 1521115363.1340
MEM 113.453125 1521115363.2343
MEM 113.453125 1521115363.3346
MEM 113.453125 1521115363.4348
MEM 113.453125 1521115363.5351
MEM 113.453125 1521115363.6354
MEM 113.453125 1521115363.7356
MEM 113.453125 1521115363.8359
MEM 113.453125 1521115363.9362
MEM 113.453125 1521115364.0364
MEM 113.453125 1521115364.1367
MEM 113.453125 1521115364.2370
MEM 113.453125 1521115364.3372
MEM 113.453125 1521115364.4375
MEM 113.453125 1521115364.5378
MEM 113.453125 1521115364.6380
MEM 113.453125 1521115364.7383
MEM 113.453125 1521115364.8386
MEM 113.453125 1521115364.9389
MEM 113.453125 1521115365.0391
MEM 113.453125 1521115365.1394
MEM 113.453125 1521115365.2397
MEM 113.453125 1521115365.3399
MEM 113.453125 1521115365.4402
MEM 113.453125 1521115365.5405
MEM 113.453125 1521115365.6407
MEM 113.453125 1521115365.7410
MEM 113.453125 1521115365.8413
MEM 113.453125 1521115365.9415
MEM 113.453125 1521115366.0418
MEM 114.621094 1521115366.1421
MEM 114.621094 1521115366.2423
MEM 114.621094 1521115366.3426
MEM 114.621094 1521115366.4429
MEM 114.621094 1521115366.5431
MEM 114.621094 1521115366.6434
MEM 114.621094 1521115366.7437
MEM 114.621094 1521115366.8439
MEM 114.621094 1521115366.9442
MEM 114.621094 1521115367.0445
MEM 114.621094 1521115367.1447
MEM 114.621094 1521115367.2450
MEM 114.621094 1521115367.3453
MEM 114.621094 1521115367.4455
MEM 114.621094 1521115367.5458
MEM 114.621094 1521115367.6461
MEM 114.621094 1521115367.7463
MEM 114.621094 1521115367.8466
MEM 114.621094 1521115367.9469
MEM 114.621094 1521115368.0471
MEM 114.621094 1521115368.1474
MEM 114.621094 1521115368.2477
MEM 114.621094 1521115368.3479
MEM 114.621094 1521115368.4482
MEM 114.621094 1521115368.5485
MEM 114.621094 1521115368.6487
MEM 114.621094 1521115368.7490
MEM 114.621094 1521115368.8493
MEM 114.621094 1521115368.9495
MEM 114.621094 1521115369.0498
MEM 114.621094 1521115369.1501
MEM 114.621094 1521115369.2503
MEM 114.621094 1521115369.3506
MEM 114.621094 1521115369.4509
MEM 114.621094 1521115369.5511
MEM 114.621094 1521115369.6514
MEM 114.621094 1521115369.7517
MEM 114.621094 1521115369.8519
MEM 114.621094 1521115369.9522
MEM 114.621094 1521115370.0525
MEM 114.621094 1521115370.1527
MEM 114.621094 1521115370.2530
MEM 114.625000 1521115370.3533
MEM 114.625000 1521115370.4535
MEM 114.625000 1521115370.5538
MEM 114.625000 1521115370.6541
MEM 114.625000 1521115370.7543
MEM 114.625000 1521115370.8546
MEM 114.625000 1521115370.9549
MEM 114.625000 1521115371.0551
MEM 114.625000 1521115371.1554
MEM 114.625000 1521115371.2557
MEM 114.625000 1521115371.3559
MEM 114.625000 1521115371.4562
MEM 114.625000 1521115371.5565
MEM 114.625000 1521115371.6567
MEM 114.625000 1521115371.7570
MEM 114.625000 1521115371.8573
MEM 114.625000 1521115371.9575
MEM 114.625000 1521115372.0578
MEM 114.625000 1521115372.1581
MEM 114.625000 1521115372.2583
MEM 114.625000 1521115372.3586
MEM 114.625000 1521115372.4589
MEM 114.625000 1521115372.5591
MEM 114.625000 1521115372.6594
MEM 114.625000 1521115372.7597
MEM 114.625000 1521115372.8599
MEM 114.625000 1521115372.9602
MEM 114.625000 1521115373.0605
MEM 114.625000 1521115373.1607
MEM 114.625000 1521115373.2610
MEM 114.625000 1521115373.3613
MEM 114.625000 1521115373.4615
MEM 114.625000 1521115373.5618
MEM 114.625000 1521115373.6621
MEM 114.625000 1521115373.7623
MEM 114.625000 1521115373.8626
MEM 114.625000 1521115373.9629
MEM 114.625000 1521115374.0631
MEM 114.625000 1521115374.1634
MEM 114.625000 1521115374.2637
MEM 114.625000 1521115374.3639
MEM 114.625000 1521115374.4642
MEM 114.625000 1521115374.5645
MEM 114.625000 1521115374.6647
MEM 114.625000 1521115374.7650
MEM 114.625000 1521115374.8653
MEM 114.625000 1521115374.9655
MEM 114.625000 1521115375.0658
MEM 114.625000 1521115375.1661
MEM 114.625000 1521115375.2663
MEM 114.625000 1521115375.3666
MEM 114.625000 1521115375.4669
MEM 114.625000 1521115375.5671
MEM 114.625000 1521115375.6674
MEM 114.625000 1521115375.7677
MEM 114.625000 1521115375.8679
MEM 114.625000 1521115375.9682
MEM 114.625000 1521115376.0685
MEM 114.625000 1521115376.1687
MEM 114.625000 1521115376.2690
MEM 114.625000 1521115376.3698
MEM 114.625000 1521115376.4700
MEM 114.625000 1521115376.5703
MEM 114.625000 1521115376.6706
MEM 114.625000 1521115376.7708
MEM 114.625000 1521115376.8711
MEM 114.625000 1521115376.9714
MEM 114.625000 1521115377.0716
MEM 114.625000 1521115377.1719
MEM 114.625000 1521115377.2722
MEM 114.625000 1521115377.3724
MEM 114.625000 1521115377.4727
MEM 114.625000 1521115377.5730
MEM 114.625000 1521115377.6732
MEM 114.625000 1521115377.7735
MEM 114.625000 1521115377.8738
MEM 114.625000 1521115377.9740
MEM 114.625000 1521115378.0743
