CMDLINE C:\Users\sebas\Anaconda3\python.exe combined_test.py
MEM 0.703125 1521115676.5204
MEM 12.835938 1521115676.6207
MEM 19.746094 1521115676.7210
MEM 24.804688 1521115676.8213
MEM 31.699219 1521115676.9215
MEM 40.902344 1521115677.0218
MEM 37.082031 1521115677.1218
MEM 39.730469 1521115677.2221
MEM 42.019531 1521115677.3224
MEM 48.687500 1521115677.4226
MEM 49.093750 1521115677.5228
MEM 49.632812 1521115677.6232
MEM 51.464844 1521115677.7234
MEM 55.878906 1521115677.8242
MEM 64.648438 1521115677.9245
MEM 74.175781 1521115678.0250
MEM 87.511719 1521115678.1252
MEM 96.105469 1521115678.2254
MEM 99.777344 1521115678.3259
MEM 111.792969 1521115678.4259
MEM 113.750000 1521115678.5262
MEM 113.750000 1521115678.6265
MEM 113.750000 1521115678.7267
MEM 113.750000 1521115678.8270
MEM 113.750000 1521115678.9273
MEM 113.750000 1521115679.0275
MEM 113.750000 1521115679.1278
MEM 113.750000 1521115679.2281
MEM 113.750000 1521115679.3283
MEM 113.750000 1521115679.4286
MEM 113.750000 1521115679.5289
MEM 113.750000 1521115679.6291
MEM 113.750000 1521115679.7294
MEM 113.750000 1521115679.8297
MEM 113.750000 1521115679.9299
MEM 113.750000 1521115680.0302
MEM 113.750000 1521115680.1305
MEM 113.750000 1521115680.2307
MEM 113.750000 1521115680.3310
MEM 113.750000 1521115680.4313
MEM 113.750000 1521115680.5315
MEM 113.750000 1521115680.6318
MEM 113.750000 1521115680.7321
MEM 113.750000 1521115680.8323
MEM 113.750000 1521115680.9326
MEM 113.750000 1521115681.0329
MEM 113.750000 1521115681.1331
MEM 113.750000 1521115681.2339
MEM 113.750000 1521115681.3342
MEM 113.750000 1521115681.4344
MEM 113.750000 1521115681.5347
MEM 113.750000 1521115681.6350
MEM 113.750000 1521115681.7352
MEM 113.750000 1521115681.8355
MEM 113.750000 1521115681.9358
MEM 113.750000 1521115682.0360
MEM 113.750000 1521115682.1363
MEM 113.750000 1521115682.2366
MEM 113.750000 1521115682.3368
MEM 113.750000 1521115682.4371
MEM 113.750000 1521115682.5374
MEM 114.917969 1521115682.6377
MEM 114.917969 1521115682.7380
MEM 114.917969 1521115682.8382
MEM 114.917969 1521115682.9385
MEM 114.917969 1521115683.0388
MEM 114.917969 1521115683.1390
MEM 114.917969 1521115683.2393
MEM 114.917969 1521115683.3396
MEM 114.917969 1521115683.4398
MEM 114.917969 1521115683.5401
MEM 114.917969 1521115683.6404
MEM 114.917969 1521115683.7406
MEM 114.917969 1521115683.8409
MEM 114.917969 1521115683.9412
MEM 114.917969 1521115684.0414
MEM 114.917969 1521115684.1417
MEM 114.917969 1521115684.2420
MEM 114.917969 1521115684.3422
MEM 114.917969 1521115684.4425
MEM 114.917969 1521115684.5428
MEM 114.917969 1521115684.6430
MEM 114.917969 1521115684.7433
MEM 114.917969 1521115684.8436
